img_name,original_size,brightness_original,noisiness_original,quality_original,brightness_resized,noisiness_resized,quality_resized,brightness_diff,noisiness_diff,quality_diff
1.png,400x600,0.23914071917533875,0.35098206996917725,0.5991700291633606,0.2405232936143875,0.3468881845474243,0.5980361700057983,-0.001382574439048767,0.00409388542175293,0.0011338591575622559
111.png,400x600,0.24300679564476013,0.35032761096954346,0.6019624471664429,0.2447710633277893,0.35143062472343445,0.6022014021873474,-0.0017642676830291748,-0.0011030137538909912,-0.00023895502090454102
146.png,400x600,0.24564196169376373,0.34698888659477234,0.6013306975364685,0.24417181313037872,0.3493688106536865,0.6009547710418701,0.0014701485633850098,-0.0023799240589141846,0.00037592649459838867
179.png,400x600,0.2437155544757843,0.3481104075908661,0.6006656289100647,0.24327251315116882,0.34952104091644287,0.6012716889381409,0.0004430413246154785,-0.0014106333255767822,-0.0006060600280761719
22.png,400x600,0.24478411674499512,0.3479562997817993,0.6012616157531738,0.24407820403575897,0.3489527404308319,0.6008097529411316,0.000705912709236145,-0.0009964406490325928,0.00045186281204223633
23.png,400x600,0.24567338824272156,0.3490333557128906,0.6018760800361633,0.24528655409812927,0.3497326672077179,0.6015272736549377,0.00038683414459228516,-0.0006993114948272705,0.00034880638122558594
493.png,400x600,0.2465028613805771,0.3483714461326599,0.6023220419883728,0.24618487060070038,0.34863904118537903,0.60234534740448,0.000317990779876709,-0.0002675950527191162,-2.3305416107177734e-05
547.png,400x600,0.2454536259174347,0.34983593225479126,0.6020135879516602,0.24576815962791443,0.34912997484207153,0.6020337343215942,-0.00031453371047973633,0.0007059574127197266,-2.014636993408203e-05
55.png,400x600,0.24460469186306,0.3495153784751892,0.6019189953804016,0.24552708864212036,0.347525417804718,0.6009035110473633,-0.0009223967790603638,0.0019899606704711914,0.00101548433303833
665.png,400x600,0.2458222508430481,0.34946468472480774,0.6022781729698181,0.2463870495557785,0.3488205671310425,0.6019203662872314,-0.0005647987127304077,0.0006441175937652588,0.0003578066825866699
669.png,400x600,0.24585159122943878,0.3498654067516327,0.6019122004508972,0.24451060593128204,0.34954705834388733,0.6023831963539124,0.0013409852981567383,0.00031834840774536133,-0.0004709959030151367
748.png,400x600,0.24471573531627655,0.3504270315170288,0.6015318036079407,0.24573776125907898,0.3487161695957184,0.6020291447639465,-0.0010220259428024292,0.0017108619213104248,-0.0004973411560058594
778.png,400x600,0.2448677122592926,0.34935882687568665,0.6018486022949219,0.24495552480220795,0.34900906682014465,0.601690411567688,-8.781254291534424e-05,0.0003497600555419922,0.00015819072723388672
780.png,400x600,0.24581341445446014,0.34989190101623535,0.6025623083114624,0.23593363165855408,0.3576148450374603,0.6015354990959167,0.009879782795906067,-0.007722944021224976,0.0010268092155456543
79.png,400x600,0.24535614252090454,0.34978124499320984,0.6020140051841736,0.24378587305545807,0.3491252064704895,0.6008349061012268,0.0015702694654464722,0.0006560385227203369,0.0011790990829467773
